Type of Travel,Zone Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Index)
Personal,Middle Filter,,Gates before Washington Ave,yes,80,no,1: Weekday (Tu-Th),1: Peak AM (7am-10am),350
Personal,Middle Filter,,Gates before Washington Ave,yes,80,no,1: Weekday (Tu-Th),2: Peak PM (4pm-7pm),661
Personal,Middle Filter,,Greene Ave after Fulton St,yes,81,no,0: All Days (M-Su),0: All Day (12am-12am),8385
Personal,Middle Filter,,Greene Ave after Fulton St,yes,81,no,0: All Days (M-Su),1: Peak AM (7am-10am),765
Personal,Middle Filter,,Greene Ave after Fulton St,yes,81,no,0: All Days (M-Su),2: Peak PM (4pm-7pm),2154
Personal,Middle Filter,,Greene Ave after Fulton St,yes,81,no,1: Weekday (Tu-Th),0: All Day (12am-12am),9031
Personal,Middle Filter,,Greene Ave after Fulton St,yes,81,no,1: Weekday (Tu-Th),1: Peak AM (7am-10am),1052
Personal,Middle Filter,,Greene Ave after Fulton St,yes,81,no,1: Weekday (Tu-Th),2: Peak PM (4pm-7pm),2161
Personal,Middle Filter,,Greene Ave DMF,yes,81,no,0: All Days (M-Su),0: All Day (12am-12am),7042
Personal,Middle Filter,,Greene Ave DMF,yes,81,no,0: All Days (M-Su),1: Peak AM (7am-10am),461
Personal,Middle Filter,,Greene Ave DMF,yes,81,no,0: All Days (M-Su),2: Peak PM (4pm-7pm),2013
Personal,Middle Filter,,Greene Ave DMF,yes,81,no,1: Weekday (Tu-Th),0: All Day (12am-12am),7663
Personal,Middle Filter,,Greene Ave DMF,yes,81,no,1: Weekday (Tu-Th),1: Peak AM (7am-10am),578
Personal,Middle Filter,,Greene Ave DMF,yes,81,no,1: Weekday (Tu-Th),2: Peak PM (4pm-7pm),2368
Personal,Middle Filter,,Greene before Washignton Ave,yes,81,no,0: All Days (M-Su),0: All Day (12am-12am),6923
Personal,Middle Filter,,Greene before Washignton Ave,yes,81,no,0: All Days (M-Su),1: Peak AM (7am-10am),398
Personal,Middle Filter,,Greene before Washignton Ave,yes,81,no,0: All Days (M-Su),2: Peak PM (4pm-7pm),2230
Personal,Middle Filter,,Greene before Washignton Ave,yes,81,no,1: Weekday (Tu-Th),0: All Day (12am-12am),7594
Personal,Middle Filter,,Greene before Washignton Ave,yes,81,no,1: Weekday (Tu-Th),1: Peak AM (7am-10am),409
Personal,Middle Filter,,Greene before Washignton Ave,yes,81,no,1: Weekday (Tu-Th),2: Peak PM (4pm-7pm),2438
Personal,Middle Filter,,Hanson Pl/Greene Ave before St Felix St,yes,82,no,0: All Days (M-Su),0: All Day (12am-12am),3721
Personal,Middle Filter,,Hanson Pl/Greene Ave before St Felix St,yes,82,no,0: All Days (M-Su),1: Peak AM (7am-10am),425
Personal,Middle Filter,,Hanson Pl/Greene Ave before St Felix St,yes,82,no,0: All Days (M-Su),2: Peak PM (4pm-7pm),1064
Personal,Middle Filter,,Hanson Pl/Greene Ave before St Felix St,yes,82,no,1: Weekday (Tu-Th),0: All Day (12am-12am),4229
Personal,Middle Filter,,Hanson Pl/Greene Ave before St Felix St,yes,82,no,1: Weekday (Tu-Th),1: Peak AM (7am-10am),579
Personal,Middle Filter,,Hanson Pl/Greene Ave before St Felix St,yes,82,no,1: Weekday (Tu-Th),2: Peak PM (4pm-7pm),1173
Personal,Middle Filter,,Lafayette Ave before Cumberland St,yes,81,no,0: All Days (M-Su),0: All Day (12am-12am),24761
Personal,Middle Filter,,Lafayette Ave before Cumberland St,yes,81,no,0: All Days (M-Su),1: Peak AM (7am-10am),2398
Personal,Middle Filter,,Lafayette Ave before Cumberland St,yes,81,no,0: All Days (M-Su),2: Peak PM (4pm-7pm),5620
Personal,Middle Filter,,Lafayette Ave before Cumberland St,yes,81,no,1: Weekday (Tu-Th),0: All Day (12am-12am),26473
Personal,Middle Filter,,Lafayette Ave before Cumberland St,yes,81,no,1: Weekday (Tu-Th),1: Peak AM (7am-10am),2506
Personal,Middle Filter,,Lafayette Ave before Cumberland St,yes,81,no,1: Weekday (Tu-Th),2: Peak PM (4pm-7pm),6459
Personal,Middle Filter,,Lafayette Ave DMF,yes,81,no,0: All Days (M-Su),0: All Day (12am-12am),26705
Personal,Middle Filter,,Lafayette Ave DMF,yes,81,no,0: All Days (M-Su),1: Peak AM (7am-10am),3072
Personal,Middle Filter,,Lafayette Ave DMF,yes,81,no,0: All Days (M-Su),2: Peak PM (4pm-7pm),6327
Personal,Middle Filter,,Lafayette Ave DMF,yes,81,no,1: Weekday (Tu-Th),0: All Day (12am-12am),29521
Personal,Middle Filter,,Lafayette Ave DMF,yes,81,no,1: Weekday (Tu-Th),1: Peak AM (7am-10am),3428
Personal,Middle Filter,,Lafayette Ave DMF,yes,81,no,1: Weekday (Tu-Th),2: Peak PM (4pm-7pm),7585
Personal,Middle Filter,,Lafayette before St Felix St,yes,81,no,0: All Days (M-Su),0: All Day (12am-12am),24995
Personal,Middle Filter,,Lafayette before St Felix St,yes,81,no,0: All Days (M-Su),1: Peak AM (7am-10am),2471
Personal,Middle Filter,,Lafayette before St Felix St,yes,81,no,0: All Days (M-Su),2: Peak PM (4pm-7pm),5268
Personal,Middle Filter,,Lafayette before St Felix St,yes,81,no,1: Weekday (Tu-Th),0: All Day (12am-12am),25462
Personal,Middle Filter,,Lafayette before St Felix St,yes,81,no,1: Weekday (Tu-Th),1: Peak AM (7am-10am),2789
Personal,Middle Filter,,Lafayette before St Felix St,yes,81,no,1: Weekday (Tu-Th),2: Peak PM (4pm-7pm),5012
Personal,Middle Filter,,LAfayette before Washington Ave,yes,84,no,0: All Days (M-Su),0: All Day (12am-12am),27297
Personal,Middle Filter,,LAfayette before Washington Ave,yes,84,no,0: All Days (M-Su),1: Peak AM (7am-10am),3244
Personal,Middle Filter,,LAfayette before Washington Ave,yes,84,no,0: All Days (M-Su),2: Peak PM (4pm-7pm),6213
Personal,Middle Filter,,LAfayette before Washington Ave,yes,84,no,1: Weekday (Tu-Th),0: All Day (12am-12am),30092
Personal,Middle Filter,,LAfayette before Washington Ave,yes,84,no,1: Weekday (Tu-Th),1: Peak AM (7am-10am),3872
Personal,Middle Filter,,LAfayette before Washington Ave,yes,84,no,1: Weekday (Tu-Th),2: Peak PM (4pm-7pm),6970
Personal,Destination,,Fulton St beforw Franklin AVE,yes,105,no,0: All Days (M-Su),0: All Day (12am-12am),20954
Personal,Destination,,Fulton St beforw Franklin AVE,yes,105,no,0: All Days (M-Su),1: Peak AM (7am-10am),2506
Personal,Destination,,Fulton St beforw Franklin AVE,yes,105,no,0: All Days (M-Su),2: Peak PM (4pm-7pm),4396
Personal,Destination,,Fulton St beforw Franklin AVE,yes,105,no,1: Weekday (Tu-Th),0: All Day (12am-12am),21954
Personal,Destination,,Fulton St beforw Franklin AVE,yes,105,no,1: Weekday (Tu-Th),1: Peak AM (7am-10am),2892
Personal,Destination,,Fulton St beforw Franklin AVE,yes,105,no,1: Weekday (Tu-Th),2: Peak PM (4pm-7pm),4848
Personal,Destination,,Gates before Franklin Ave,yes,81,no,0: All Days (M-Su),0: All Day (12am-12am),4492
Personal,Destination,,Gates before Franklin Ave,yes,81,no,0: All Days (M-Su),1: Peak AM (7am-10am),577
Personal,Destination,,Gates before Franklin Ave,yes,81,no,0: All Days (M-Su),2: Peak PM (4pm-7pm),1076
Personal,Destination,,Gates before Franklin Ave,yes,81,no,1: Weekday (Tu-Th),0: All Day (12am-12am),4696
Personal,Destination,,Gates before Franklin Ave,yes,81,no,1: Weekday (Tu-Th),1: Peak AM (7am-10am),572
Personal,Destination,,Gates before Franklin Ave,yes,81,no,1: Weekday (Tu-Th),2: Peak PM (4pm-7pm),1360
Personal,Destination,,Greene before Franklin Ave,yes,82,no,0: All Days (M-Su),0: All Day (12am-12am),6975
Personal,Destination,,Greene before Franklin Ave,yes,82,no,0: All Days (M-Su),1: Peak AM (7am-10am),459
Personal,Destination,,Greene before Franklin Ave,yes,82,no,0: All Days (M-Su),2: Peak PM (4pm-7pm),2015
Personal,Destination,,Greene before Franklin Ave,yes,82,no,1: Weekday (Tu-Th),0: All Day (12am-12am),7620
Personal,Destination,,Greene before Franklin Ave,yes,82,no,1: Weekday (Tu-Th),1: Peak AM (7am-10am),578
Personal,Destination,,Greene before Franklin Ave,yes,82,no,1: Weekday (Tu-Th),2: Peak PM (4pm-7pm),2399
Personal,Destination,,Lafayette before Franklin Ave,yes,80,no,0: All Days (M-Su),0: All Day (12am-12am),26626
Personal,Destination,,Lafayette before Franklin Ave,yes,80,no,0: All Days (M-Su),1: Peak AM (7am-10am),3071
Personal,Destination,,Lafayette before Franklin Ave,yes,80,no,0: All Days (M-Su),2: Peak PM (4pm-7pm),6329
Personal,Destination,,Lafayette before Franklin Ave,yes,80,no,1: Weekday (Tu-Th),0: All Day (12am-12am),29349
Personal,Destination,,Lafayette before Franklin Ave,yes,80,no,1: Weekday (Tu-Th),1: Peak AM (7am-10am),3479
Personal,Destination,,Lafayette before Franklin Ave,yes,80,no,1: Weekday (Tu-Th),2: Peak PM (4pm-7pm),7487
