Type of Travel,Origin Zone ID,Origin Zone Name,Origin Zone Is Pass-Through,Origin Zone Direction (degrees),Origin Zone is Bi-Direction,Middle Filter Zone ID,Middle Filter Zone Name,Middle Filter Zone Direction (degrees),Middle Filter Zone is Bi-Direction,Destination Zone ID,Destination Zone Name,Destination Zone Is Pass-Through,Destination Zone Direction (degrees),Destination Zone is Bi-Direction,Day Type,Day Part,Average Daily O-M-D Traffic (StL Index),Average Daily Origin Zone Traffic (StL Index),Average Daily Middle Filter Zone Traffic (StL Index),Average Daily Destination Zone Traffic (StL Index),Avg Trip Duration (sec)
Personal,,Lafayette/Ashland,yes,N/A,no,,Greene Ave after Fulton St,81,no,,Lafayette before Franklin Ave,yes,80,no,0: All Days (M-Su),0: All Day (12am-12am),69,35617,8385,26626,706
Personal,,Lafayette/Ashland,yes,N/A,no,,Greene Ave after Fulton St,81,no,,Lafayette before Franklin Ave,yes,80,no,0: All Days (M-Su),2: Peak PM (4pm-7pm),22,7663,2154,6329,749
Personal,,Lafayette/Ashland,yes,N/A,no,,Greene Ave after Fulton St,81,no,,Lafayette before Franklin Ave,yes,80,no,1: Weekday (Tu-Th),0: All Day (12am-12am),93,36761,9031,29349,733
Personal,,Lafayette/Ashland,yes,N/A,no,,Greene Ave after Fulton St,81,no,,Lafayette before Franklin Ave,yes,80,no,1: Weekday (Tu-Th),2: Peak PM (4pm-7pm),20,7230,2161,7487,639
Personal,,Lafayette/Ashland,yes,N/A,no,,Greene Ave DMF,81,no,,Greene before Franklin Ave,yes,82,no,0: All Days (M-Su),0: All Day (12am-12am),509,35617,7042,6975,657
Personal,,Lafayette/Ashland,yes,N/A,no,,Greene Ave DMF,81,no,,Greene before Franklin Ave,yes,82,no,0: All Days (M-Su),2: Peak PM (4pm-7pm),146,7663,2013,2015,845
Personal,,Lafayette/Ashland,yes,N/A,no,,Greene Ave DMF,81,no,,Greene before Franklin Ave,yes,82,no,1: Weekday (Tu-Th),0: All Day (12am-12am),606,36761,7663,7620,674
Personal,,Lafayette/Ashland,yes,N/A,no,,Greene Ave DMF,81,no,,Greene before Franklin Ave,yes,82,no,1: Weekday (Tu-Th),2: Peak PM (4pm-7pm),162,7230,2368,2399,898
Personal,,Lafayette/Ashland,yes,N/A,no,,Greene Ave DMF,81,no,,Lafayette before Franklin Ave,yes,80,no,0: All Days (M-Su),0: All Day (12am-12am),20,35617,7042,26626,N/A
Personal,,Lafayette/Ashland,yes,N/A,no,,Greene Ave DMF,81,no,,Lafayette before Franklin Ave,yes,80,no,0: All Days (M-Su),2: Peak PM (4pm-7pm),12,7663,2013,6329,N/A
