Type of Travel,Origin Zone ID,Origin Zone Name,Origin Zone Is Pass-Through,Origin Zone Direction (degrees),Origin Zone is Bi-Direction,Middle Filter Zone ID,Middle Filter Zone Name,Middle Filter Zone Direction (degrees),Middle Filter Zone is Bi-Direction,Destination Zone ID,Destination Zone Name,Destination Zone Is Pass-Through,Destination Zone Direction (degrees),Destination Zone is Bi-Direction,Day Type,Day Part,Average Daily O-M-D Traffic (StL Index),Average Daily Origin Zone Traffic (StL Index),Average Daily Middle Filter Zone Traffic (StL Index),Average Daily Destination Zone Traffic (StL Index),Avg Trip Duration (sec)
Personal,,Astoria/77 St,yes,N/A,no,,Astoria Blvd/108 ST DMF,109,no,,Ditmars DMF,yes,143,no,1: Weekday (Tu-Th),2: Peak PM (4pm-7pm),12,21740,9296,10865,387
Personal,,Astoria/77 St,yes,N/A,no,,Astoria Blvd/108 ST DMF,109,no,,Northern Blvd EB,yes,89,no,0: All Days (M-Su),0: All Day (12am-12am),50,100248,41871,28175,776
Personal,,Astoria/77 St,yes,N/A,no,,Astoria Blvd/108 ST DMF,109,no,,Northern Blvd EB,yes,89,no,0: All Days (M-Su),1: Peak AM (7am-10am),9,12920,5406,3473,131
Personal,,Astoria/77 St,yes,N/A,no,,Astoria Blvd/108 ST DMF,109,no,,Northern Blvd EB,yes,89,no,0: All Days (M-Su),2: Peak PM (4pm-7pm),6,20310,8900,6727,488
Personal,,Astoria/77 St,yes,N/A,no,,Astoria Blvd/108 ST DMF,109,no,,Northern Blvd EB,yes,89,no,1: Weekday (Tu-Th),0: All Day (12am-12am),66,102205,42524,28138,1031
Personal,,Astoria/77 St,yes,N/A,no,,Astoria Blvd/108 ST DMF,109,no,,Northern Blvd EB,yes,89,no,1: Weekday (Tu-Th),1: Peak AM (7am-10am),13,14297,5742,3845,N/A
Personal,,Astoria/77 St,yes,N/A,no,,Astoria Blvd/108 ST DMF,109,no,,Northern Blvd EB,yes,89,no,1: Weekday (Tu-Th),2: Peak PM (4pm-7pm),6,21740,9296,7445,N/A
Personal,,Astoria/77 St,yes,N/A,no,,Astoria Blvd/80 St,102,no,,Astoria Blvd DMF,yes,108,no,0: All Days (M-Su),0: All Day (12am-12am),16401,100248,36988,41811,311
Personal,,Astoria/77 St,yes,N/A,no,,Astoria Blvd/80 St,102,no,,Astoria Blvd DMF,yes,108,no,0: All Days (M-Su),1: Peak AM (7am-10am),2010,12920,4250,5436,252
Personal,,Astoria/77 St,yes,N/A,no,,Astoria Blvd/80 St,102,no,,Astoria Blvd DMF,yes,108,no,0: All Days (M-Su),2: Peak PM (4pm-7pm),3335,20310,8008,8865,495
Personal,,Astoria/77 St,yes,N/A,no,,Astoria Blvd/80 St,102,no,,Astoria Blvd DMF,yes,108,no,1: Weekday (Tu-Th),0: All Day (12am-12am),16754,102205,36871,42552,325
Personal,,Astoria/77 St,yes,N/A,no,,Astoria Blvd/80 St,102,no,,Astoria Blvd DMF,yes,108,no,1: Weekday (Tu-Th),1: Peak AM (7am-10am),2286,14297,4696,5809,256
Personal,,Astoria/77 St,yes,N/A,no,,Astoria Blvd/80 St,102,no,,Astoria Blvd DMF,yes,108,no,1: Weekday (Tu-Th),2: Peak PM (4pm-7pm),3376,21740,8410,9253,541
Personal,,Astoria/77 St,yes,N/A,no,,Astoria Blvd/80 St,102,no,,Ditmars DMF,yes,143,no,0: All Days (M-Su),0: All Day (12am-12am),5212,100248,36988,37942,260
Personal,,Astoria/77 St,yes,N/A,no,,Astoria Blvd/80 St,102,no,,Ditmars DMF,yes,143,no,0: All Days (M-Su),1: Peak AM (7am-10am),647,12920,4250,3997,213
Personal,,Astoria/77 St,yes,N/A,no,,Astoria Blvd/80 St,102,no,,Ditmars DMF,yes,143,no,0: All Days (M-Su),2: Peak PM (4pm-7pm),987,20310,8008,10227,431
Personal,,Astoria/77 St,yes,N/A,no,,Astoria Blvd/80 St,102,no,,Ditmars DMF,yes,143,no,1: Weekday (Tu-Th),0: All Day (12am-12am),5247,102205,36871,39364,274
Personal,,Astoria/77 St,yes,N/A,no,,Astoria Blvd/80 St,102,no,,Ditmars DMF,yes,143,no,1: Weekday (Tu-Th),1: Peak AM (7am-10am),767,14297,4696,4470,222
Personal,,Astoria/77 St,yes,N/A,no,,Astoria Blvd/80 St,102,no,,Ditmars DMF,yes,143,no,1: Weekday (Tu-Th),2: Peak PM (4pm-7pm),1036,21740,8410,10865,510
Personal,,Astoria/77 St,yes,N/A,no,,Astoria Blvd/80 St,102,no,,Northern Blvd EB,yes,89,no,0: All Days (M-Su),0: All Day (12am-12am),405,100248,36988,28175,905
