Type of Travel,Origin Zone ID,Origin Zone Name,Origin Zone Is Pass-Through,Origin Zone Direction (degrees),Origin Zone is Bi-Direction,Middle Filter Zone ID,Middle Filter Zone Name,Middle Filter Zone Direction (degrees),Middle Filter Zone is Bi-Direction,Destination Zone ID,Destination Zone Name,Destination Zone Is Pass-Through,Destination Zone Direction (degrees),Destination Zone is Bi-Direction,Day Type,Day Part,Average Daily O-M-D Traffic (StL Index),Average Daily Origin Zone Traffic (StL Index),Average Daily Middle Filter Zone Traffic (StL Index),Average Daily Destination Zone Traffic (StL Index),Avg Trip Duration (sec)
Personal,,Baychester Ave/E241 St,yes,N/A,no,,Dereimer Ave DMF,165,no,,Dereimer Ave SB,yes,164,no,1: Weekday (Tu-Th),0: All Day (12am-12am),50,16339,772,863,674
Personal,,Baychester Ave/E241 St,yes,N/A,no,,Dereimer Ave DMF,165,no,,Dereimer Ave SB,yes,164,no,1: Weekday (Tu-Th),1: Peak AM (7am-10am),14,2777,176,238,756
Personal,,Baychester Ave/E241 St,yes,N/A,no,,Dereimer Ave DMF,165,no,,Dereimer Ave SB,yes,164,no,1: Weekday (Tu-Th),2: Peak PM (4pm-7pm),7,3640,127,137,240
Personal,,Baychester Ave/E241 St,yes,N/A,no,,Dereimer Ave past Camp St,164,no,,Baychester Ave SB,yes,165,no,0: All Days (M-Su),0: All Day (12am-12am),6,16401,189,7379,417
Personal,,Baychester Ave/E241 St,yes,N/A,no,,Dereimer Ave past Camp St,164,no,,Baychester Ave SB,yes,165,no,1: Weekday (Tu-Th),0: All Day (12am-12am),3,16339,172,7083,557
Personal,,Baychester Ave/E241 St,yes,N/A,no,,Wilder Ave before Bussing Ave,163,no,,Baychester Ave SB,yes,165,no,0: All Days (M-Su),0: All Day (12am-12am),16,16401,755,7379,509
Personal,,Baychester Ave/E241 St,yes,N/A,no,,Wilder Ave before Bussing Ave,163,no,,Baychester Ave SB,yes,165,no,0: All Days (M-Su),1: Peak AM (7am-10am),2,2322,141,1103,265
Personal,,Baychester Ave/E241 St,yes,N/A,no,,Wilder Ave before Bussing Ave,163,no,,Baychester Ave SB,yes,165,no,0: All Days (M-Su),2: Peak PM (4pm-7pm),3,3362,140,1504,302
Personal,,Baychester Ave/E241 St,yes,N/A,no,,Wilder Ave before Bussing Ave,163,no,,Baychester Ave SB,yes,165,no,1: Weekday (Tu-Th),0: All Day (12am-12am),18,16339,789,7083,472
Personal,,Baychester Ave/E241 St,yes,N/A,no,,Wilder Ave before Bussing Ave,163,no,,Baychester Ave SB,yes,165,no,1: Weekday (Tu-Th),2: Peak PM (4pm-7pm),7,3640,176,1534,302
Personal,,Baychester Ave/E241 St,yes,N/A,no,,Wilder Ave before Bussing Ave,163,no,,Dereimer Ave SB,yes,164,no,0: All Days (M-Su),0: All Day (12am-12am),4,16401,755,792,958
Personal,,Baychester Ave/E241 St,yes,N/A,no,,Wilder Ave before Bussing Ave,163,no,,Dereimer Ave SB,yes,164,no,0: All Days (M-Su),1: Peak AM (7am-10am),3,2322,141,188,1053
Personal,,Baychester Ave/E241 St,yes,N/A,no,,Wilder Ave before Bussing Ave,163,no,,Dereimer Ave SB,yes,164,no,1: Weekday (Tu-Th),0: All Day (12am-12am),8,16339,789,863,1053
Personal,,Baychester Ave/E241 St,yes,N/A,no,,Wilder Ave before Bussing Ave,163,no,,Dereimer Ave SB,yes,164,no,1: Weekday (Tu-Th),1: Peak AM (7am-10am),8,2777,172,238,1053
Personal,,Baychester Ave/E241 St,yes,N/A,no,,Wilder Ave before Bussing Ave,163,no,,Wilder Ave SB,yes,166,no,0: All Days (M-Su),0: All Day (12am-12am),11,16401,755,540,724
Personal,,Baychester Ave/E241 St,yes,N/A,no,,Wilder Ave before Bussing Ave,163,no,,Wilder Ave SB,yes,166,no,0: All Days (M-Su),2: Peak PM (4pm-7pm),4,3362,140,93,425
Personal,,Baychester Ave/E241 St,yes,N/A,no,,Wilder Ave before Bussing Ave,163,no,,Wilder Ave SB,yes,166,no,1: Weekday (Tu-Th),0: All Day (12am-12am),10,16339,789,586,831
Personal,,Baychester Ave/E241 St,yes,N/A,no,,Wilder Ave before Bussing Ave,163,no,,Wilder Ave SB,yes,166,no,1: Weekday (Tu-Th),2: Peak PM (4pm-7pm),3,3640,176,108,499
Personal,,Baychester Ave/E241 St,yes,N/A,no,,Wilder Ave DMF,165,no,,Wilder Ave SB,yes,166,no,0: All Days (M-Su),0: All Day (12am-12am),40,16401,469,540,453
Personal,,Baychester Ave/E241 St,yes,N/A,no,,Wilder Ave DMF,165,no,,Wilder Ave SB,yes,166,no,0: All Days (M-Su),1: Peak AM (7am-10am),2,2322,74,87,313
